Span length [km],Fiber 1,Fiber 2,Fiber 3,Fiber 4
1.0,9.890420506964123,10.249969492377412,11.544903179029076,11.53031716151059
2.0,11.725190347507372,12.081724610498224,13.397434955854244,13.38548379300384
3.0,12.760584952274264,13.122154495888012,14.447111490516622,14.440622769969083
4.0,13.465783549995262,13.832799163884323,15.170332704074191,15.16998352956434
5.0,13.988670233913208,14.363649911733013,15.709481363559295,15.716114680433012
6.0,14.395128728853702,14.77905119530763,16.13111897291325,16.145226808281237
7.0,14.72217134594715,15.115683794600706,16.472493752300558,16.494355581668398
8.0,14.991407276638473,15.394898222284993,16.755337622055603,16.785099392528778
9.0,15.215202285870184,15.628934314522056,16.99210955013985,17.02981799773913
10.0,15.40529932660003,15.829438883573534,17.19461842283536,17.240286557350103
11.0,15.554209393858775,15.989534092556877,17.35543394434751,17.40946794513399
12.0,15.695104574585633,16.141002273604386,17.50774747923255,17.569653491559883
13.0,15.812607892197464,16.269141281857465,17.6362695692152,17.70599888036064
14.0,15.916186727685101,16.383404580622667,17.750483988772785,17.8280057979617
15.0,16.004898344228415,16.482856369353073,17.84950410983788,17.934782558060995
16.0,16.08382973090879,16.572585556601297,17.93847240616898,18.031476309988218
17.0,16.151802962452926,16.651408726199797,18.01621392850666,18.116908576019306
18.0,16.208421228204802,16.718940789696006,18.082368043791327,18.19073136700946
19.0,16.259326388594957,16.7808239976026,18.142589993477117,18.258622046121758
20.0,16.30130595919798,16.83385232081529,18.1937207506812,18.317402347631443
21.0,16.324032521346666,16.86822506027834,18.225264056497032,18.356863261906852
22.0,16.35616457355243,16.911562732923997,18.266225074676726,18.4054810348633
23.0,16.376923277564945,16.94362161522808,18.29568278401624,18.442616624970732
24.0,16.39654293180893,16.974638843589048,18.323887316938396,18.47851148135404
25.0,16.413802274225034,17.003378458410282,18.349636324453975,18.51197015591644
26.0,16.427411321409505,17.028580866007985,18.37165596412605,18.54173224971609
27.0,16.428736134193123,17.04159360267807,18.3812951241157,18.5591555770208
28.0,16.438399712541283,17.063058532083993,18.39922235881712,18.584888306453625
29.0,16.433033693290895,17.06960194028737,18.402043554028463,18.595569577528906
30.0,16.43483879672297,17.08342222396515,18.411986655834788,18.61342305115123
31.0,16.413896135968024,17.075172360797964,18.398941994554328,18.608622163204366
32.0,16.403941194087267,17.077475377452632,18.39703953641777,18.61473474685853
33.0,16.391104584824905,17.076999721119762,18.392211162047772,18.617980332286002
34.0,16.37470356301133,17.073084811365206,18.38379834694929,18.617688799335987
35.0,16.363554918686138,17.074539658558667,18.380595543483253,18.622677528339956
36.0,16.347994833244243,17.071706617675098,18.372974614663697,18.623306616761738
37.0,16.327326833625904,17.063880776023204,18.36021849731912,18.61886868326621
38.0,16.298793892880813,17.050334963106522,18.3416078380485,18.60864568107063
39.0,16.27607904915,17.04094766925013,18.32701968121426,18.60250808545843
40.0,16.24661214893365,17.024936064715202,18.31474458886578,18.5896865497857
41.0,16.206849465732724,16.997088664585817,18.28398183247287,18.56687904118256
42.0,16.173252047818217,16.977013913989456,18.25937426526487,18.55008858956339
43.0,16.14287076400624,16.960288244452443,18.238044449996412,18.536606656640146
44.0,16.103844481963414,16.93502025199448,18.20812733570099,18.514554485083153
45.0,16.06759634062952,16.912677145473893,18.181071749369707,18.495377972075666
46.0,16.03419632540584,16.893299079314183,18.156937629580675,18.4791279220413
47.0,16.003689312162724,16.87694657287456,18.134828750960722,18.465863899190413
48.0,15.963095082900567,16.850619221326625,18.103594429749478,18.452416260601304
49.0,15.911633315423884,16.813549704243666,18.06159378059673,18.41915143178421
50.0,15.875674554817044,16.7921004940956,18.036175655815274,18.401514542579193
51.0,15.81380992523399,16.745651762142835,17.98417517939899,18.35872168397556
52.0,15.768460570839117,16.715070180983258,17.94855934699055,18.33203155554031
53.0,15.725142522714915,16.68664899851337,17.915076738997907,18.30750750981631
54.0,15.683884733672098,16.66041138104007,17.8837539141265,18.285212997010625
55.0,15.62980555928057,16.621458165470244,17.839697283098566,18.250245937023635
56.0,15.577296139240893,16.58421029689961,17.79732200026553,18.215881572775935
57.0,15.526381974118287,16.54868523665708,17.756650472613856,18.184350178212547
58.0,15.477100943932559,16.51489631157226,17.717702282052166,18.155582790475883
59.0,15.429466639368847,16.482889855184226,17.680520536316806,18.127653247121224
60.0,15.367209270314731,16.436380014842047,17.628837313030907,18.085268227040665
61.0,15.307381786211998,16.39328430419572,17.580092308987226,18.04629830783626
62.0,15.258895257382013,16.349529136798157,17.531156818881563,18.0067853869134
63.0,15.201382012466425,16.30708656691305,17.48352406947111,17.968628871985693
64.0,15.145134990264973,16.265959246581147,17.437195429234034,17.93185571749602
65.0,15.090188305737787,16.22616853846037,17.392222419859774,17.896473116173276
66.0,15.036545822572549,16.187734600456036,17.348598781414246,17.86249954603007
67.0,14.966031502441616,16.13246044249363,17.288143081051178,17.811761930745284
68.0,14.913282059005216,16.096496119054628,17.246997157753768,17.780390921408554
69.0,14.84544376322122,16.055171179851662,17.188520629009773,17.731734497512775
70.0,14.777525868927063,16.00366431475513,17.13091989944772,17.68402271546372
71.0,14.714036087658904,15.95756094699664,17.078046793652796,17.641573708020253
72.0,14.648008281277228,15.90813629709998,17.022404279160604,17.595973001769273
73.0,14.582841646803011,15.859662265432434,16.967584403704723,17.551344469506972
74.0,14.51855012797179,15.812151747851377,16.913666144327145,17.50768020450034
75.0,14.455159768132235,15.765619464749058,16.860670597912417,17.46502369890254
76.0,14.372028088930893,15.69781127885692,16.787967844645564,17.402734244078495
77.0,14.310151413865878,15.653809608719737,16.736551264359548,17.361797608652857
78.0,14.249205774095868,15.60986904479871,16.686092426346622,17.321892063709072
79.0,14.167758203907006,15.545511960839544,16.615239289735314,17.26158267848722
